fid,id_renabap,nombre_barrio,provincia,departamento,localidad,cantidad_viviendas_aproximadas,cantidad_familias_aproximada,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,titulo_propiedad,clasificacion_barrio,superficie_m2,WKT
3718,4081,Orilla del Canal,Tucumán,Cruz Alta,Alderetes,330,363,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Red cloacal conectada a la red pluvial,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Villa,87112,"MULTIPOLYGON (((-65.1490178678147 -26.8238728332771,-65.1485264277445 -26.824027974162,-65.1481621839277 -26.823726364864,-65.1478788831813 -26.8234527001974,-65.1477738499113 -26.8233168314721,-65.147537765956 -26.8229005528243,-65.146983 -26.821683,-65.146823 -26.821361,-65.146727 -26.821206,-65.146835 -26.821148,-65.146745 -26.820717,-65.146631 -26.820188,-65.146384 -26.819009,-65.146175 -26.81805,-65.146019 -26.818011,-65.145984 -26.817467,-65.145968 -26.817363,-65.145907 -26.817054,-65.1458032715903 -26.8168757545248,-65.14553 -26.8153,-65.1454486638534 -26.8146620257899,-65.1454871428195 -26.8139508027586,-65.1453677207829 -26.8138770064881,-65.1455745752962 -26.8134131898466,-65.145959 -26.813074,-65.146385 -26.812629,-65.146793 -26.812176,-65.1470341201847 -26.8115771954403,-65.1471960063255 -26.8111801889521,-65.1473938671643 -26.8106161570806,-65.1475621773583 -26.8101754670307,-65.1475647469795 -26.8099493403578,-65.1474028608388 -26.8086259853973,-65.1474182785664 -26.808505213197,-65.147426 -26.808347,-65.1474080000813 -26.808186580158,-65.1476173010797 -26.8081610365573,-65.147678 -26.807699,-65.147863 -26.807143,-65.14792 -26.806984,-65.147741 -26.806921,-65.147956 -26.806332,-65.148115 -26.805854,-65.148148 -26.805721,-65.147981 -26.805299,-65.147791 -26.804815,-65.147619 -26.804326,-65.147329 -26.803783,-65.147109 -26.803332,-65.14708 -26.802965,-65.147276 -26.802947,-65.147324 -26.803321,-65.147477 -26.803696,-65.147693 -26.804171,-65.147984 -26.804686,-65.148274 -26.805208,-65.148393 -26.805414,-65.148453 -26.805472,-65.148481 -26.805677,-65.148377 -26.806017,-65.148259 -26.806383,-65.148154 -26.80671,-65.148007 -26.807211,-65.147877 -26.80763,-65.147868 -26.808229,-65.147965 -26.808863,-65.148051 -26.80934,-65.148016 -26.809433,-65.148067 -26.809847,-65.148069 -26.81011,-65.147949 -26.810515,-65.147791 -26.810845,-65.147595 -26.811449,-65.147487 -26.81171,-65.147375 -26.811923,-65.14737 -26.812084,-65.147328 -26.812168,-65.147163 -26.812392,-65.146906 -26.812676,-65.146651 -26.81298,-65.14632 -26.813285,-65.14608 -26.813578,-65.14595 -26.813713,-65.145836 -26.813884,-65.1458244709659 -26.8139592343692,-65.1457679392976 -26.8142752977869,-65.1457788601881 -26.8145708042344,-65.1462670882318 -26.8168744697142,-65.1461250694751 -26.8169092153889,-65.146283 -26.817481,-65.146361 -26.817646,-65.146366 -26.817809,-65.146398 -26.817986,-65.146519 -26.818731,-65.14668 -26.819585,-65.146802 -26.820188,-65.146898 -26.820598,-65.146973 -26.820871,-65.147222 -26.821043,-65.147266 -26.821344,-65.147439 -26.821688,-65.14765 -26.82214,-65.147836 -26.822511,-65.147987 -26.822868,-65.148058 -26.823046,-65.148439 -26.823398,-65.1490178678147 -26.8238728332771)))"
3719,4082,Jerusalén,Tucumán,Cruz Alta,Alderetes,220,242,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Leña o carbón,Leña o carbón,NO,Villa,176978,"MULTIPOLYGON (((-65.161513 -26.821572,-65.16103 -26.821749,-65.161311 -26.822469,-65.161349 -26.822563,-65.161537 -26.822728,-65.16158 -26.82269,-65.161708 -26.822783,-65.16213 -26.823123,-65.162244 -26.823022,-65.162411 -26.823176,-65.162083 -26.823487,-65.161788 -26.82352,-65.160265 -26.822615,-65.160013 -26.822807,-65.1598319223225 -26.8230750092145,-65.1595926317752 -26.8234222802391,-65.159215633363 -26.8235051210839,-65.1588914158986 -26.8228828364411,-65.1589691777522 -26.8228413052592,-65.1589170810989 -26.8227184728808,-65.1588544662864 -26.8225679689859,-65.1583088687219 -26.8227415566401,-65.1582324258741 -26.8225821095269,-65.1570478711919 -26.8229585055184,-65.156772 -26.821921,-65.157255 -26.821768,-65.157105 -26.821232,-65.157518 -26.821103,-65.156981 -26.819638,-65.158133 -26.819027,-65.157857 -26.818568,-65.158455 -26.818235,-65.158959 -26.818922,-65.1595341136894 -26.8187108738919,-65.1598567239629 -26.8185243551714,-65.159985805676 -26.8186850388121,-65.1603372418789 -26.8184999513681,-65.1605273344465 -26.8187737255129,-65.1603770816926 -26.8188396417837,-65.1604378550276 -26.8190693072122,-65.1602570963111 -26.8191203551178,-65.1603218948837 -26.8194775741887,-65.1604421293865 -26.8194398440431,-65.160476640946 -26.8195695457902,-65.160777454489 -26.8194842202682,-65.1607435960444 -26.819346310401,-65.1609723076714 -26.8194255029407,-65.1610158103911 -26.8197473877078,-65.1607696392793 -26.8197549743629,-65.1608071761421 -26.8200336370675,-65.1610373328486 -26.8200427679394,-65.1610152853678 -26.8202328050732,-65.1607767637866 -26.8202464755882,-65.1607830557257 -26.820433539373,-65.160142 -26.820416,-65.160319 -26.821174,-65.160625 -26.821098,-65.16133 -26.820878,-65.161435 -26.821124,-65.161349 -26.82116,-65.161432 -26.821328,-65.161513 -26.821572)))"
3720,4083,San Martín de Porres,Tucumán,Cruz Alta,Alderetes,130,143,Década 1950,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Leña o carbón,Leña o carbón,NO,Asentamiento,215133,"MULTIPOLYGON (((-65.1590435365734 -26.7979123553805,-65.1590866311873 -26.7979139322287,-65.159567 -26.797911,-65.160045 -26.797863,-65.160125 -26.79758,-65.160066 -26.797422,-65.159717 -26.797183,-65.159728 -26.79703,-65.160893683184 -26.7968825267757,-65.1605455752493 -26.7962325963175,-65.160023 -26.795253,-65.159417 -26.795555,-65.159133 -26.795114,-65.159369 -26.793793,-65.159224 -26.793409,-65.157008 -26.793783,-65.157089 -26.79533,-65.157035 -26.795703,-65.15674 -26.796656,-65.156515 -26.797494,-65.156579 -26.797757,-65.157556 -26.798849,-65.15828 -26.800027,-65.158628 -26.80087,-65.1574 -26.801147,-65.157378 -26.802383,-65.158473 -26.801981,-65.159025 -26.801866,-65.15954 -26.801832,-65.159621 -26.801655,-65.159862 -26.801372,-65.159685 -26.800745,-65.159358 -26.800214,-65.159707 -26.800046,-65.159106 -26.799103,-65.1585973951555 -26.7993341165591,-65.1585329265501 -26.799193481734,-65.1591211160095 -26.7988318727147,-65.1585999079191 -26.7982235535248,-65.1590537727938 -26.7982092057694,-65.1590435365734 -26.7979123553805)))"
3721,4084,El Bajo,Tucumán,Lules,Ingenio San Pablo,20,22,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo comunitaria,Gas en garrafa,Leña o carbón,NO,Asentamiento,10587,"MULTIPOLYGON (((-65.3059749999999 -26.8835139999999,-65.303571 -26.884129,-65.303704 -26.8845029999999,-65.306101 -26.8838739999999,-65.3059749999999 -26.8835139999999)))"
3722,4085,El Triángulo I,Tucumán,Yerba Buena,Villa Carmela,55,61,Década 1970,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,14265,"MULTIPOLYGON (((-65.270181 -26.777135,-65.270279 -26.776938,-65.270392 -26.776977,-65.270309 -26.777166,-65.270378 -26.777197,-65.27032 -26.777333,-65.27021 -26.777292,-65.270174 -26.777374,-65.270239 -26.777404,-65.270164 -26.777597,-65.270136 -26.777737,-65.270057 -26.777964,-65.269925 -26.778229,-65.269847 -26.778214,-65.269754 -26.778218,-65.26969 -26.77824,-65.269035 -26.778873,-65.268848 -26.779028,-65.26888 -26.779061,-65.268516 -26.779393,-65.268546 -26.779486,-65.267833 -26.779769,-65.267744 -26.779603,-65.26747 -26.779736,-65.267322 -26.779782,-65.267208 -26.779561,-65.268056 -26.7792,-65.268511 -26.778949,-65.268853 -26.778697,-65.269351 -26.778228,-65.269535 -26.777999,-65.269926 -26.777536,-65.270181 -26.777135)))"
3723,4086,Ampliación Los Frenos,Tucumán,Cruz Alta,Banda Del Río Salí,260,286,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,114497,"MULTIPOLYGON (((-65.179082 -26.850608,-65.1765763061106 -26.8511080262895,-65.1769773119424 -26.8527044834689,-65.1761509756737 -26.8528891500391,-65.1768619281889 -26.8554074897595,-65.178653 -26.85503,-65.1788470962099 -26.8558387601824,-65.179433472662 -26.8556836541531,-65.178749 -26.853221,-65.178754 -26.852261,-65.178568 -26.851407,-65.179233 -26.85123,-65.179082 -26.850608)))"
3724,4087,Costanera La Milagrosa,Tucumán,Cruz Alta,Banda Del Río Salí,240,264,Década 1970,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Leña o carbón,Leña o carbón,NO,Villa,80767,"MULTIPOLYGON (((-65.1769010296386 -26.8466437193344,-65.1767629999999 -26.846426,-65.1765809999999 -26.8463379999999,-65.1761959999999 -26.8451909999999,-65.176351 -26.84509,-65.1761895365852 -26.8446108012046,-65.176235 -26.844465,-65.175845 -26.844483,-65.1758086541485 -26.8439957788209,-65.1758471058952 -26.8439519999999,-65.1758231058952 -26.8437508941048,-65.1757168847161 -26.8437383364628,-65.1758256899091 -26.8436051496648,-65.1756839999999 -26.8428479999999,-65.1754759999999 -26.842386,-65.175313442358 -26.8423445576419,-65.175041 -26.8421728941048,-65.1746219999999 -26.8418641152838,-65.1742726114084 -26.8421519637556,-65.174441259061 -26.8423098057042,-65.1745041942958 -26.8424149352347,-65.1745933238263 -26.842768,-65.1746540632685 -26.8437336942402,-65.174615461984 -26.8445593328253,-65.1746016824368 -26.8453411376026,-65.1744897397449 -26.8453707639932,-65.1750298896634 -26.8473573898226,-65.1757677371328 -26.8472082119418,-65.1758991135842 -26.8471348420216,-65.1769010296386 -26.8466437193344)))"
3725,4088,La Ceramica,Tucumán,Cruz Alta,Banda Del Río Salí,200,220,Década 1970,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Energía eléctrica,NO,Asentamiento,134968,"MULTIPOLYGON (((-65.1563351303888 -26.8667652005855,-65.1566882631004 -26.8682561124454,-65.1568002226868 -26.8686913728515,-65.1578935567773 -26.8684686076606,-65.1581629902996 -26.8694256088842,-65.1566967187919 -26.869697677604,-65.1552076536221 -26.8699602195936,-65.1527952077891 -26.870435388095,-65.1528848817297 -26.8696076143045,-65.1526996500329 -26.8696099003094,-65.1526918676188 -26.8693716256403,-65.1526386401428 -26.8693740552177,-65.1526113510045 -26.8691641729424,-65.1538066692139 -26.868980330786,-65.1537131353711 -26.868571,-65.153640367433 -26.8681617312266,-65.1536697133051 -26.8679351291569,-65.1550601295251 -26.8677405274896,-65.1548859459547 -26.8672702638314,-65.1548687987713 -26.8672579212065,-65.1547781350685 -26.8669964739447,-65.1555564895343 -26.8668520798119,-65.1555246553602 -26.866689738385,-65.1556967987327 -26.8666583240833,-65.1555683432954 -26.8660174631399,-65.155785645363 -26.8659833075828,-65.1556870305676 -26.8655123984716,-65.1568726705116 -26.8653050544478,-65.157164849186 -26.8666290921894,-65.1563351303888 -26.8667652005855)))"
3726,4089,Ampliación Villa Inés,Tucumán,Cruz Alta,Banda Del Río Salí,125,138,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,35470,"MULTIPOLYGON (((-65.1501247825327 -26.8647459783842,-65.1513289347161 -26.8644360652838,-65.1513899999999 -26.8644889999999,-65.151653 -26.8644679999999,-65.151595 -26.8641299999999,-65.1495189999999 -26.864476,-65.149558 -26.8643499999999,-65.1494749999999 -26.864337,-65.1496969999999 -26.8633839999999,-65.149628 -26.8633609999999,-65.1493389999999 -26.863412,-65.1489574980975 -26.8647378631461,-65.1485423912663 -26.8666989131004,-65.1488040868995 -26.8667783696506,-65.148996 -26.866099,-65.1503563259825 -26.8658428478166,-65.1501247825327 -26.8647459783842)))"
3727,4090,Virgen del Valle,Tucumán,Cruz Alta,Banda Del Río Salí,122,134,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Energía eléctrica,NO,Villa,30940,"MULTIPOLYGON (((-65.1502379999999 -26.8604,-65.150224 -26.860292,-65.150384 -26.858619,-65.150258 -26.858619,-65.1500159999999 -26.860447,-65.1497919999999 -26.8614229999999,-65.149715 -26.861844,-65.149350538054 -26.8633964442434,-65.149639 -26.8633349999999,-65.1498579999999 -26.862612,-65.1499709999999 -26.862607,-65.150029 -26.86254,-65.1502179999999 -26.862546,-65.150587 -26.862536,-65.151055 -26.86243,-65.1509589999999 -26.861843,-65.151359 -26.861771,-65.151248 -26.861207,-65.151172 -26.8612009999999,-65.150999 -26.860263,-65.1509159999999 -26.860286,-65.151059614162 -26.8612096548649,-65.1504353097299 -26.861323614162,-65.1502379999999 -26.8604)))"
3728,4091,Costanera Soldado Tucumano,Tucumán,Cruz Alta,Banda Del Río Salí,190,209,Década 1970,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Villa,75295,"MULTIPOLYGON (((-65.177759530786 -26.8469377989083,-65.1770815841025 -26.8465552147586,-65.1758991135842 -26.8471348420216,-65.1764401092415 -26.8479389639807,-65.1767385095966 -26.8490940749977,-65.1770359453792 -26.8503042420926,-65.1787812216157 -26.8499259329694,-65.1788572886463 -26.8497226443231,-65.1788971545851 -26.8492927113537,-65.1787057318777 -26.8487305978166,-65.1784800875545 -26.8481931545851,-65.1785674227074 -26.8481677989082,-65.1786645772925 -26.8480461545851,-65.1782259999999 -26.8471939999999,-65.1779762886462 -26.8470287783842,-65.1777697113537 -26.8470873556768,-65.177759530786 -26.8469377989083)))"
3729,4092,Sin Nombre,Tucumán,Tafí Viejo,Las Talitas,48,53,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,10169,"MULTIPOLYGON (((-65.1996226886463 -26.7796005628821,-65.1992584072052 -26.7781858742358,-65.1991023113537 -26.7782271556768,-65.1991611138947 -26.7785252469519,-65.1992793113536 -26.778878,-65.1992391556768 -26.7789759999999,-65.1994598742358 -26.779643,-65.1996120299126 -26.7803807545851,-65.2000927484716 -26.7824864371178,-65.2003516886462 -26.7824616886462,-65.1999694493449 -26.7808685635371,-65.1999066533775 -26.780730617154,-65.1996226886463 -26.7796005628821)))"
3730,4093,Parque Independencia,Tucumán,Tafí Viejo,Las Talitas,47,52,Década 1990,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,14510,"MULTIPOLYGON (((-65.1979384787117 -26.7724045649563,-65.1976849722906 -26.7716663441295,-65.1975828264192 -26.7711416086244,-65.1974443924672 -26.7706470032751,-65.1973598280567 -26.7703423105894,-65.196849521834 -26.7684331304585,-65.1966820867903 -26.7684557390829,-65.1967653477074 -26.7690038695414,-65.1968949563318 -26.7694537390829,-65.1971158258733 -26.7703606086244,-65.1969829999999 -26.770409,-65.197018 -26.770565,-65.1971820867904 -26.770605260917,-65.1972059563319 -26.7707723913755,-65.1973710867903 -26.771134521834,-65.1974079999999 -26.7714792172488,-65.1976703040392 -26.7724846086244,-65.198027 -26.7738517827511,-65.198216782751 -26.773842260917,-65.1979384787117 -26.7724045649563)))"
3731,4094,Sin Nombre,Tucumán,Tafí Viejo,Las Talitas,80,88,Década 2010,2014,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Camión cisterna,Gas en garrafa,Inexistente,NO,Asentamiento,100730,"MULTIPOLYGON (((-65.203104 -26.763727,-65.201977 -26.763976,-65.202063 -26.764368,-65.1998398338678 -26.7648055071142,-65.198983 -26.76115,-65.200518 -26.760872,-65.200926 -26.762347,-65.201677 -26.762175,-65.201773 -26.762567,-65.202793 -26.762357,-65.203104 -26.763727)))"
3732,4095,Virgen del Valle,Tucumán,Tafí Viejo,Las Talitas,350,385,Década 2010,2013,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Leña o carbón,NO,Asentamiento,136836,"MULTIPOLYGON (((-65.194317016216 -26.7563488830346,-65.1936819668097 -26.7564579907476,-65.1935759276053 -26.7559899383337,-65.1937076696232 -26.7559636264679,-65.1931628815337 -26.753821196851,-65.192835 -26.753878,-65.192738 -26.753505,-65.1930701632271 -26.7534374854153,-65.1923773112686 -26.7507694531599,-65.195035 -26.750219,-65.1961139277547 -26.7499975271622,-65.19645549647 -26.7514513790673,-65.1957254084405 -26.7515943957982,-65.1958148179097 -26.751957220143,-65.1965414278559 -26.7518160262927,-65.1968221700286 -26.7528275677872,-65.193565 -26.753524,-65.194317016216 -26.7563488830346)))"
3733,4096,Los Sánchez,Tucumán,Tafí Viejo,Las Talitas,110,121,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Inexistente,NO,Asentamiento,31441,"MULTIPOLYGON (((-65.1958385414847 -26.7796124585152,-65.1940260419213 -26.7800801668122,-65.194354291703 -26.7814332078602,-65.195499291703 -26.781202041048,-65.1955451668122 -26.7813557493449,-65.1962779161571 -26.7812054576419,-65.1958385414847 -26.7796124585152)))"
3734,4097,Ampliación Nueva Esperanza,Tucumán,Tafí Viejo,Las Talitas,115,127,Década 2010,2012,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Asentamiento,55105,"MULTIPOLYGON (((-65.178057 -26.778985,-65.1776774932595 -26.7770728582424,-65.1753188996487 -26.7775740106073,-65.1756450110319 -26.778842221542,-65.1755501275109 -26.7789590159388,-65.175627664297 -26.7791596794356,-65.1765531058066 -26.7789882748452,-65.1767727432168 -26.778942563506,-65.1771741110731 -26.7789336442203,-65.1775018948224 -26.7803467935476,-65.17806994183 -26.7802375322978,-65.1780175410266 -26.779872956495,-65.1780607438166 -26.7797957489283,-65.1779562209374 -26.7790172625237,-65.1780654821872 -26.7790462502022,-65.178057 -26.778985)))"
3735,4098,Ampliación Mercedes,Tucumán,Lules,San Isidro De Lules,450,495,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,NO,Villa,156916,"MULTIPOLYGON (((-65.3368627497816 -26.9326781255458,-65.335898249345 -26.932982750655,-65.3357599999999 -26.9327448753275,-65.3335002502183 -26.9334298753275,-65.3329931759945 -26.9336580879972,-65.3324997654212 -26.9338991662866,-65.3307128753275 -26.9348818753275,-65.330935 -26.9352539999999,-65.3304732942169 -26.9354687873302,-65.3305749633248 -26.9356714931132,-65.3306608753275 -26.9356569120027,-65.3313822502183 -26.9369383740174,-65.3315231246724 -26.9368634995633,-65.3315518744541 -26.9366784995633,-65.3329665568768 -26.9361339274312,-65.3335813757642 -26.9358468744541,-65.3337192502183 -26.9358916242358,-65.3341272493449 -26.9356683748908,-65.3354347497816 -26.9350426259825,-65.3356728744541 -26.9350483748908,-65.3374958744541 -26.9342817497816,-65.3373981246724 -26.9339721246725,-65.3372197497816 -26.9335607497816,-65.3370948744541 -26.9332847497816,-65.3371627497816 -26.9332501246725,-65.3370544995633 -26.9329532502183,-65.3369732062197 -26.9329425142101,-65.3368627497816 -26.9326781255458)))"
